id,country,family,name_short,name_english,name,name_ascii,name_nonlatin,wikipedia,foundation_date,dissolution_date,data_source,description,comment,data_json
795,68,40,DSSS,Workers' Party of Social Justice,Dělnická strana sociální spravedlnosti,Delnicka strana socialni spravedlnosti,,https://en.wikipedia.org/wiki/Workers%27_Party_of_Social_Justice,,,,New party formed in 2003.,,
796,54,14,WASG,Labour and Social Justice -- The Electoral Alternative,Arbeit & soziale Gerechtigkeit – Die Wahlalternative,Arbeit & soziale Gerechtigkeit -- Die Wahlalternative,,http://en.wikipedia.org/wiki/Labour_and_Social_Justice_%E2%80%93_The_Electoral_Alternative,2005-01-22,2007-06-16,ddp,"Labour and Social Justice – The Electoral Alternative (WASG) was formed on 22 January 2005 by former Social Democrats (SPD) and union members.
WASG candidates won seats on PDS lists in the 2005 election and formed a joint parliamentary group.",Inclusion rule: winning 2 seats in an election as a member of an electoral alliance,
797,21,19,Gron,Greens,De Gronne,De Gronne,,http://en.wikipedia.org/wiki/De_Gr%C3%B8nne,,,,,,null
800,10,16,FTB,Kingdom of Bulgaria Confederation,Federatsiya Tsarstvo Balgariya ,Federatsiya Tsarstvo Balgariya,Федерация царство България,,,,,,,
801,55,26,VL,All For Latvia!,Visu Latvijai!,Visu Latvijai!,,http://en.wikipedia.org/wiki/All_For_Latvia!,,,,,,null
802,35,26,MbS,Citizens Coalition,Medborgerlig samling,Medborgerlig samling,,https://sv.wikipedia.org/wiki/Medborgerlig_samling_(1964–1968),1964-07-01,,,,Candidates in Malmö constituency only.,
805,34,16,Balad,National Democratic Assembly,Brit Le'umit Demokratit,Brit Le'umit Demokratit,ברית לאומית דמוקרטית,http://en.wikipedia.org/wiki/Balad_%28Israel%29,1995-07-01,,,New party formed in 1995.,,
806,67,14,SKP-Y,Communist  Party of Finland (Unity),Suomen Kommunistinen Puolue  (Yhtenäisyys) – Finlands Kommunistiska Partiet (Enhet),Suomen Kommunistinen Puolue (Yhtenaisyys) -- Finlands Kommunistiska Partiet (Enhet),,http://en.wikipedia.org/wiki/Communist_Party_of_Finland_(1997),1985-11-13,,jacobs,,Twice largest party no seats.,"{""include"": ""first loser twice""}"
808,54,3,CDU,Christian Democratic Union,Christlich Demokratische Union,Christlich Demokratische Union,,http://en.wikipedia.org/wiki/Christlich_Demokratische_Union_Deutschlands,1945-06-26,,,,,"{""name_full"": {""name_short"": ""CDU"", ""name_english"": ""Christian Democratic Union of Germany"", ""name"": ""Christlich Demokratische Union Deutschlands""}, ""new_party"": false}"
809,26,11,DS,Democrats of the Left,Democratici di Sinistra,Democratici di Sinistra,,http://en.wikipedia.org/wiki/Democrats_of_the_Left,1991-02-03,,,,,
811,55,26,TP,People's Party,Tautas Partija,Tautas partija,,http://en.wikipedia.org/wiki/Tautas_Partija,1998-07-01,2011-07-09,,New party formed in 1998.,,
812,21,16,SP,Schleswig Party,Slesvigsk Parti,Slesvigsk Parti,,http://en.wikipedia.org/wiki/Schleswig_Party,1920-07-01,,,New party formed in 1920.,,
816,72,26,DAP,Democratic Action Party,Democratic Action Party,Democratic Action Party,,http://en.wikipedia.org/wiki/Democratic_Action_Party_%28Malta%29,1947-07-01,,mchale,New party formed in 1947.,,
817,56,2,Sjf,Association for Equality and Justice,Samtök um jatnrétti og félagshyggju,Samtok um jatnretti og felagshyggju,,https://en.wikipedia.org/wiki/Association_for_Justice_and_Equality,,,mackie,,,
822,74,2,ZSL,United People's Party,Zjednoczone Stronnictwo Ludowe,Zjednoczone Stronnictwo Ludowe,,http://en.wikipedia.org/wiki/United_People%27s_Party_%28Poland%29,,,,,,
825,26,12,etc,others,diversi,diversi,,,,,,,,null
827,26,3,PS,Segni Pact,Patto Segni,Patto Segni,,http://en.wikipedia.org/wiki/Patto_Segni,,,,,,
828,56,26,Bf-87,Citizens' Party -- 1987,Borgaraflokkurinn – 1987,Borgaraflokkurinn -- 1987,,http://en.wikipedia.org/wiki/Citizens%27_Party_%28Iceland%29,1987-07-01,,,,,
829,68,26,ODS,Civic Democratic Party,Občanská demokratická strana,Obcanska demokraticka strana,,http://en.wikipedia.org/wiki/Civic_Democratic_Party_(Czech_Republic),1991-04-21,,,Party formed on 21 April 1991 as a split of the Civic Forum (OF).,,
831,26,40,MSI,Italian Social Movement,Movimento Sociale Italiano,Movimento Sociale Italiano,,http://en.wikipedia.org/wiki/Italian_Social_Movement,,,,,,
837,5,26,K,Komeito Party,Kōmeitō,Komeito,公明党,http://en.wikipedia.org/wiki/New_Komeito_Party,1964-11-17,,,"New party formed in 1964.
Party was officially dissolved on 5 November 1994 but reformed on 7 November 1998.",Komeito Party and New Komeito coded as one party because it presents itself as such in the online presentation of its history.,
838,74,11,UP,Labour Union,Unia Pracy,Unia Pracy,,http://en.wikipedia.org/wiki/Labor_United,,,,,,
840,26,3,PpP,Popular Party for Prodi,Popolari per Prodi,Popolari per Prodi,,http://it.wikipedia.org/wiki/Popolari_per_Prodi,,,,,,
845,27,16,EA,Basque Solidarity,Eusko Alkartasuna,Eusko Alkartasuna,,http://en.wikipedia.org/wiki/Eusko_Alkartasuna,1986-09-04,,,,,
846,75,26,I,Pro Patria Union,Isamaaliit,Isamaaliit,,http://en.wikipedia.org/wiki/Pro_Patria_Union,,,,,,
851,51,26,DIKO,Democratic Party,Dimokratikó Kómma,Dimokratiko Komma,Δημοκρατικό Κόμμα,http://en.wikipedia.org/wiki/Democratic_Party_%28Cyprus%29,1976-07-01,,jacobs,,,
856,15,6,NS-SL,New Union (Social Liberals),Naujoji sąjunga (socialliberalai),Naujoji sajunga (socialliberalai),,http://en.wikipedia.org/wiki/New_Union_%28Socialliberals%29,1998-04-25,2011-07-09,,New party formed on 25 April 1998.,,
861,23,6,PAC,Party of the Civic Alliance,Partidul Alianţa Civică,Partidul Alianta Civica,,http://ro.wikipedia.org/wiki/Partidul_Alian%C5%A3a_Civic%C4%83,,,,,,null
863,15,16,LRS,Lithuanian Russian Union,Lietuvos rusų sąjunga,Lietuvos rusu sajunga,,http://en.wikipedia.org/wiki/Lithuanian_Union_of_Russians,1995-07-01,,,New party formed in 1995.,,
865,54,16,Pi,German Pirate Party,Piratenpartei Deutschland,Piratenpartei Deutschland,,http://en.wikipedia.org/wiki/German_Pirate_Party,2006-09-10,,,New party formed 10 September 2006.,,
870,39,26,FKgP,Independent Small Holders Party,Független Kisgazda Párt,Fuggetlen Kisgazda Part,,"http://en.wikipedia.org/wiki/Independent_Smallholders,_Agrarian_Workers_and_Civic_Party",1930-07-01,,,New party formed on 1 July 1930. Refounded on18 November 1988.,,
872,68,40,SPR-RSC,Rally for the Republic -- Republican Party of Czechoslovakia,Sdruzení pro republiku – Republikánská strana Ceskoslovenska,Sdruzeni pro republiku -- Republikanska strana Ceskoslovenska,,http://en.wikipedia.org/wiki/Republicans_of_Miroslav_Sl%C3%A1dek,1989-10-28,2013-05-15,,"New party formed in 26 October 1989 (Bugajski 2002, 258).
Party was dissolved on 15 May 2013.",,
873,43,19,V,Greens,Les Verts,Les Verts,,http://en.wikipedia.org/wiki/The_Greens_%28France%29,1984-01-20,,,New party formed on 20 January 1984.,,
874,1,19,SZS,Green Party,Strana zelených,Strana Zelenych,,http://en.wikipedia.org/wiki/Green_Party_%28Slovakia%29,1989-07-01,,,,,
875,60,6,SOS,Slovenian Liberal Party,Slovenska obrtniöka stranka,Slovenska obrtnioka stranka,,https://sl.wikipedia.org/wiki/Socialna_liberalna_stranka,1989-07-01,,,,,
878,11,11,LP,Labour Party,Labour Party,Labour Party,,http://en.wikipedia.org/wiki/New_Zealand_Labour_Party,,,,,,null
882,35,14,V,Left Party (Communists),Vänsterpartiet (kommunisterna),Vansterpartiet (kommunisterna),,http://en.wikipedia.org/wiki/V%C3%A4nsterpartiet_Kommunisterna,1917-07-01,,,,,
885,43,3,CDP,Centre Democracy and Progress,Centre démocratie et progrés,Centre democratie et progres,,"http://en.wikipedia.org/wiki/Centre,_Democracy_and_Progress",,,,,,
886,40,11,DG,Democratic Group,Gruppe der Demokraten – Groupe des democrates,Gruppe der Demokraten -- Groupe des democrates,,https://en.wikipedia.org/wiki/Social-Political_Group,,,no-2010,,,
887,15,6,LCS,Centre Union of Lithuania,Lietuvos centro sąjunga,Lietuvos centro sajunga,,http://en.wikipedia.org/wiki/Centre_Union_of_Lithuania,1992-07-01,,,"New party formed in 1992.
Party merged into Liberal and Centre Union (LiCS) in 2003 but a minority faction reformed the party.",,
888,23,3,PNT-CD,Christian-Democratic National Peasants' Party,Partidul Naţional Ţărănesc Creştin Democrat,Partidul National Taranesc Crestin Democrat,,http://en.wikipedia.org/wiki/Christian-Democratic_National_Peasants'_Party_(Romania),,,,,,
889,63,11,ID,Democratic Intervention,Intervençao Democrática,Intervencao Democratica,,http://en.wikipedia.org/wiki/Democratic_Intervention_(Portugal),,,,,,null
890,43,26,RGR,Rally of Republican Lefts,Rassemblement des gauches républicaines,Rassemblement des gauches republicaines,,http://en.wikipedia.org/wiki/Rally_of_Republican_Lefts,1946-06-02,1958-07-01,,,,
891,11,26,NZFP,New Zealand First Party,New Zealand First Party,New Zealand First Party,,http://en.wikipedia.org/wiki/New_Zealand_First,,,,,,
892,35,6,FP,People's Party,Folkpartiet,Folkpartiet,,https://en.wikipedia.org/wiki/Liberals_(Sweden),1934-08-05,,,,,
894,27,26,CiU,Convergence and Union,Convergència i Unió,Convergencia i Unio,,http://en.wikipedia.org/wiki/Convergence_and_Union,1978-09-01,2015-06-17,,,,
896,26,3,AD,Democratic Alliance,Alleanza Democratica,Alleanza Democratica,,http://en.wikipedia.org/wiki/Democratic_Alliance_(Italy),,,,,,null
897,29,26,RPC,Reform Party of Canada,Reform Party of Canada,Reform Party of Canada,,http://en.wikipedia.org/wiki/Reform_Party_of_Canada,1987-10-30,,"glob, reuters",New party formed on 31 October 1987.,,
898,43,26,UDCA,Union for the Defence of Traders and Artisans -- Poujadists,Union de défense des commerçants et artisans – Poujadists,Union de defense des commercants et artisans -- Poujadists,,https://en.wikipedia.org/wiki/Union_for_the_Defense_of_Tradesmen_and_Artisans,1953-07-01,1962-07-01,,New party formed in 1953.,,
900,74,16,MN,German minority,Mniejszość niemiecka w Polsce,Mniejszosc niemiecka,,https://en.wikipedia.org/wiki/German_Minority_Electoral_Committee,1990-07-01,,,New party formed in 1990.,,
901,20,26,AKP,Justice and Development Party,Adalet ve Kalkınma Partisi,Adalet ve Kalkinma Partisi,,http://en.wikipedia.org/wiki/Justice_and_Development_Party_%28Turkey%29,2001-08-14,,,Party formed on 14 August 2001.,,
902,27,11,PSOE,Spanish Socialist Workers Party,Partido Socialista Obrero Español,Partido Socialista Obrero Espanol,,http://en.wikipedia.org/wiki/Spanish_Socialist_Workers_Party,1879-07-01,,,,,
904,35,11,SAP,Social Democrats,Socialdemokraterna,Socialdemokraterna,,http://en.wikipedia.org/wiki/Socialdemokratiska_arbetarepartiet,1889-04-23,,,,,"{""name_full"": {""name_short"": ""SAP"", ""name_english"": ""Swedish Social Democratic Party"", ""name"": ""Sveriges socialdemokratiska arbetareparti""}}"
905,5,12,none,no party affiliation,no party affiliation,no party affiliation,,,,,,,,null
906,26,6,LD,Liberal Democrats,Liberal Democratici,Liberal Democratici,,http://en.wikipedia.org/wiki/Liberal_Democrats_(Italy),,,,,,
910,26,19,FdV,Federation of the Greens,Federazione dei Verdi,Federazione dei Verdi,,http://en.wikipedia.org/wiki/Federation_of_the_Greens,1990-12-09,,,,,
912,54,26,DP,German Party,Deutsche Partei,Deutsche Partei,,http://en.wikipedia.org/wiki/German_Party_%281947%29,,,,,,
915,64,6,MR,Reformist Movement,Mouvement Réformateur,Mouvement Reformateur,,http://en.wikipedia.org/wiki/Mouvement_R%C3%A9formateur,2002-03-24,,,,,"{""cmp"": 21425}"
917,11,26,UNZ,United New Zealand,United New Zealand,United New Zealand,,http://en.wikipedia.org/wiki/United_New_Zealand,1995-06-27,,,,,
920,67,2,SPP,Finnish Small Farmers' Party,Suomen Pienviljelijäin Puolue – Finska Småbrukarpartiet,Suomen Pienviljelijain Puolue -- Finska Smabrukarpartiet,,http://en.wikipedia.org/wiki/Small_Farmers%27_Party_of_Finland,1929-05-29,,,New party formed on 12 May 1929.,,
921,39,26,Fi-MPSz,Fidesz -- Hungarian Civic Union,Fidesz – Magyar Polgári Szövetség,Fidesz -- Magyar Polgari Szovetseg,,http://en.wikipedia.org/wiki/Fidesz_%E2%80%93_Hungarian_Civic_Union,1988-03-30,,,,,
923,37,2,CnT,Party of the Land,Clann na Talmhan,Clann na Talmhan,,http://en.wikipedia.org/wiki/Clann_na_Talmhan,1939-06-29,1965-07-01,,New party formed on 29 June 1939. ,,
925,63,6,MEP,Hope for Portugal Movement,Movimento Esperança Portugal,Movimento Esperanca Portugal,,http://en.wikipedia.org/wiki/Hope_for_Portugal_Movement,2008-07-23,,,New party formed on 23 July 2008.,,
927,26,16,AIE,Associative Italians Abroad,Associativo Italiani all'Estero,Associativo Italiani all'Estero,,http://en.wikipedia.org/wiki/Associative_Movement_Italians_Abroad,,,,,,"{""information_needed"": ""party origin""}"
928,55,11,L,Equal Rights,Līdztiesība,Lidztiesiba,,http://en.wikipedia.org/wiki/Equal_Rights_%28Latvia%29,1990-07-01,,,New party formed in 1990.,,
930,11,11,NLP,New Labour Party,New Labour Party,New Labour Party,,http://en.wikipedia.org/wiki/NewLabour_Party_%28New_Zealand%29,1989-05-01,2000-10-13,"nzhe, nzpa",Former Labour MP Jim Anderton formed the New Labour Party on 1 May 1989. It was a founding member of the Alliance on 1 December 1991 and formally merged on 13 October 2000.,,
936,1,3,KSU,Christian Social Union,Krest’anská sociálna únia Slovenska,Krestanska socialna unia Slovenska,,http://sk.wikipedia.org/wiki/Slovensk%C3%A9_kres%C5%A5ansko-demokratick%C3%A9_hnutie,,,,,,
938,34,14,OZ-KH,This World -- New Force,HaOlam HaZeh – Koah Hadash,HaOlam HaZeh -- Koah Hadash,,http://en.wikipedia.org/wiki/Meri_%28political_party%29,1965-07-01,,,New party formed in the 1960s.,,
940,5,11,JSP,Japan Socialist Party,Nihon Shakai-tō,Nihon Shakai-to,社会民主党,http://en.wikipedia.org/wiki/Japan_Socialist_Party,1945-07-01,,,New Party formed in 1945. Major reformation and name change 19 January 1996.,,
944,8,6,VDB,Free-thinking Democratic League,Vrijzinnig Democratische Bond,Vrijzinnig Democratische Bond,,http://en.wikipedia.org/wiki/Free-thinking_Democratic_League,1901-07-01,,,,,
945,51,11,EDEK,Movement for Social Democracy EDEK,Kinima Sosialdimokraton EDEK,Kinima Sosialdimokraton EDEK,Κινήμα Σοσιαλδημοκρατών ΕΔΕΚ,http://en.wikipedia.org/wiki/Movement_for_Social_Democracy,1969-07-01,,,,,"{""cmp"": 55322}"
947,43,12,none,no party affiliation,sans étiquette,sans etiquette,,,,,,,,
948,23,26,UDMR,Democratic Union of Hungarians in Romania,Uniunea Democrată Maghiară din România,Uniunea Democratica Maghiara din Romania,,http://en.wikipedia.org/wiki/Democratic_Union_of_Hungarians_in_Romania,,,,,,
951,35,40,NyD,New Democracy,Ny Demokrati,Ny Demokrati,,http://en.wikipedia.org/wiki/Ny_Demokrati,1991-02-04,,,"New party formed on 4 February 1991.
",,
952,39,12,one-seat,one seat,one seat,one seat,,,,,,Parties that won one seat in a single election and less than one percent vote share.,,
955,59,6,LIF,Liberal Forum,Liberales Forum,Liberales Forum,,http://en.wikipedia.org/wiki/Liberales_Forum,1993-02-04,,,,,
956,55,16,LG,Light of Latgale,Latgales Gaisma,Latgales Gaisma,,http://en.wikipedia.org/wiki/Light_of_Latgale,,,,,,"{""information_needed"": ""party origin""}"
957,67,26,IK,Patriotic People's Movement,Isänmaallinen Kansanliike – Fosterländska Folkrörelsen,Isanmaallinen Kansanliike -- Fosterlandska Folkrorelsen,,http://en.wikipedia.org/wiki/Patriotic_People%27s_Movement_(Finland),1932-06-05,,,New party formed on 5 June 1932.,,
958,23,6,PD-L,Democratic Liberal Party,Partidul Democrat-Liberal,Partidul Democrat-Liberal,,http://en.wikipedia.org/wiki/Democratic_Liberal_Party_%28Romania%29,2007-12-15,,afp,Democratic Party (PD) and Liberal Democratic Party (PLD) announced their merger on 15 December 2007 and formed the Democratic Liberal Party (PD-L) (AFP).,,
961,26,3,ID,Democracy,I Democratici,I Democratici,,http://en.wikipedia.org/wiki/The_Democrats_(Italy),,,,,,
962,55,6,SCP,Society for Other Politics,Sabiedrība citai politikai,Sabiedriba citai politikai,,http://en.wikipedia.org/wiki/Society_for_Other_Politics,2008-09-06,,,,,
963,10,19,ZP,Green Party of Bulgaria,Zelena Partiya,Zelena Partija,Зелена партия,http://en.wikipedia.org/wiki/Green_Party_of_Bulgaria,1989-12-01,,buga,,,
964,40,14,POCH,Progressive Organisations of Switzerland,Progressive Organisationen der Schweiz – Organisations progressistes de Suisse,Progressive Organisationen der Schweiz -- Organisations progressistes de Suisse,,http://en.wikipedia.org/wiki/Progressive_Organizations_of_Switzerland,1972-07-01,,ho-86,New party formed in 1972.,,
967,7,6,DP,Democratic Party,Demokratesch Partei,Demokratesch Partei,,http://en.wikipedia.org/wiki/Democratic_Party_(Luxembourg),,,,,,"{""name_language"": [""French: Parti D\u00e9mocratique"", ""German: Demokratische Partei""]}"
968,26,14,PdUP,Proletarian Unity Party,Partito di Unità Proletaria,Partito di Unita Proletaria,,http://en.wikipedia.org/wiki/Proletarian_Unity_Party_%28Italy%29,,,,,,
969,64,6,FDF,Francophone Democratic Front,Front Démocratique des Francophones | DéFI,Front Democratique des Francophones,,http://en.wikipedia.org/wiki/F%C3%A9d%C3%A9ralistes_D%C3%A9mocrates_Francophones,1964-05-11,,,,,
972,64,3,CD+NVA,Christian-Democrat and Flemish / New Flemish Alliance,Christen-Democratisch & Vlaams / Nieuw-Vlaams Alliantie,Christen-Democratisch & Vlaams / Nieuw-Vlaams Alliantie,,http://en.wikipedia.org/wiki/Flemish_Christian_Democratic_Party,2004-06-13,2008-09-21,,Christian-Democrats (CD&V) and New Flemish Alliance (NVA) formed a cartel for European Parliament and regional elections on 13 June 2004 and for the national election on 10 June 2007. The two parties formed a joined parliamentary group after the 2007 election from which the New Flemish Alliance (NVA) withdrew on 21 September 2008.,,
973,59,11,SPO,Social Democratic Party of Austria,Sozialdemokratische Partei Österreichs,Sozialdemokratische Partei Oesterreichs,,http://en.wikipedia.org/wiki/Social_Democratic_Party_of_Austria,1889-01-01,,,,,
974,26,16,UV,Valdotanian Union,Union Valdôtaine,Union Valdotaine,,http://en.wikipedia.org/wiki/Valdotanian_Union,1945-09-13,,,"New party formed on 13 September 1945.
Often stands for election with changing minor allies.",,
976,34,40,Tzomet,Crossroads,Tzomet,Tzomet,צומת‎,http://en.wikipedia.org/wiki/Tzomet,1983-07-01,,,New party formed in 1983.,,
978,21,6,FrP,Progress Party,Fremskridtspartiet,Fremskridtspartiet,,http://en.wikipedia.org/wiki/Fremskridtspartiet,1972-08-22,,,New party formed on 22 August 1972.,,
979,67,16,VSL,League for Free Finland,Vapaan Suomen Liitto – Självständighetspartiet,Vapaan Suomen Liitto -- Sjalvstandighetspartiet,,http://fi.wikipedia.org/wiki/Itsen%C3%A4isyyspuolue,1994-11-01,,,New party formed in November 1994. ,,
980,34,26,M,Homeland,Moledet,Moledet,מולדת‎,http://en.wikipedia.org/wiki/Moledet,,,,,,
981,60,28,SNS,Slovenian National Party,Slovenska nacionalna stranka,Slovenska nacionalna stranka,,http://en.wikipedia.org/wiki/Slovenian_National_Party,1991-03-17,,,New party formed on 17 March 1991. ,,
982,10,11,BSP,Bulgarian Socialist Party,Balgarska Sotsialisticheska Partiya,Balgarska Potsialisticheska Partiya,Българска социалистическа партия,http://en.wikipedia.org/wiki/Bulgarian_Socialist_Party,1990-04-03,,,New party formed on 3 April 1990 by Aleksandar Lilov.,,"{""cmp"": 80228}"
983,15,6,LiCS,Liberal and Centre Union,Liberalų ir centro sąjunga,Liberalc ir centro sajunga,,http://en.wikipedia.org/wiki/Liberal_and_Centre_Union,,,,,Coded as merger because of predecessor vote strength in 1996 and 2000 election.,
984,72,26,PN,Nationalist Party,Partit Nazzjonalista,Partit Nazzjonalista,,http://en.wikipedia.org/wiki/Nationalist_Party_%28Malta%29,1880-07-01,,,,,
987,74,26,LPR,League of Polish Families,Liga Polskich Rodzin,Liga Polskich Rodzin,,http://en.wikipedia.org/wiki/League_of_Polish_Families,2001-05-30,,,New party formed on 30 May 2001. ,,
988,56,11,BJ,Alliance of Social Democrats ,Bandalag jafnaðarmanna,Bandalag jafnadarmanna,,http://en.wikipedia.org/wiki/Alliance_of_Social_Democrats,1983-07-01,,,,,
990,8,16,PvdD,Party for the Animals,Partij voor de Dieren,Partij voor de Dieren,,http://en.wikipedia.org/wiki/Party_for_the_Animals,2002-10-28,,,New party formed on 28 October 2002.,,
993,64,40,VB,Flemish Block | Flemish Interest,Vlaams Blok | Vlaams Belang,Vlaams Blok | Vlaams Belang,,http://en.wikipedia.org/wiki/Vlaams_Blok,1979-05-28,,,Party formed on 28 May 1979 as split from People's Union (VU).,,
997,11,26,NP,National Party,National Party,National Party,,http://en.wikipedia.org/wiki/New_Zealand_National_Party,1936-05-14,,,,,
998,63,14,PSR,Revolutionary Socialist Party,Partido Socialista Revolucionário,Partido Socialista Revolucionario,,http://en.wikipedia.org/wiki/Revolutionary_Socialist_Party_%28Portugal%29,,,,,,null
1000,1,3,DS,Democratic Party,Demokratická strana,Demokraticka strana,,http://en.wikipedia.org/wiki/Democratic_Party_%28Slovakia%29,,,,,,null
1001,55,19,LZP,Latvian Green Party,Latvijas Zaļā partija,Latvijas Zala partija,,http://en.wikipedia.org/wiki/Green_Party_of_Latvia,,,,,,
1002,7,12,none,no party affiliation,no party affiliation,no party affiliation,,,,,,,,null
1003,72,11,PL,Malta Labour Party,Partit Laburista,Partit Laburista,,http://en.wikipedia.org/wiki/Malta_Labour_Party,,,,,,
1005,26,6,DL-M,Democracy is Freedom -- The Daisy,Democrazia è Libertà – La Margherita,Democrazia e Liberta -- La Margherita,,http://en.wikipedia.org/wiki/Daisy-Democracy_is_Freedom,2002-03-24,,,,,
1006,56,11,Sam,Social Democratic Alliance,Samfylkingin,Samfylkingin,,http://en.wikipedia.org/wiki/Alliance_%28Iceland%29,2000-05-05,,,"Party formed on 05 May 2000 as a merger of The National Awakening, the People's Alliance, the Social Democratic Party and the Women's List.",,
1009,67,6,NSP,Young Finns,Nuorsuomalaiset – Ungfinnarna,Nuorsuomalaiset -- Ungfinnarna,,http://en.wikipedia.org/wiki/Young_Finns,,,,,,null
1010,35,6,Mi,Middle Parties,Mittenpartierna,Mittenpartierna,,http://sv.wikipedia.org/wiki/Politisk_mitt,,,,"Electoral alliance (regional) between Folkpartiet (Liberals) and Centerpartiet (Centre Party) in Gotland constituency and the four-cities constituency (Urwin 1970, 78).",,
1011,74,12,none,no party affiliation,no party affiliation,no party affiliation,,,,,,,,null
1012,40,3,CsP-PCS,Christian Social Party,Christlich-soziale Partei – Parti chrétien-social,Christlich-soziale Partei -- Parti chretien-social,,http://en.wikipedia.org/wiki/Christian_Social_Party_%28Switzerland%29,,,,,,
1013,59,3,OVP,Austrian People's Party,Österreichische Volkspartei,Oesterreichische Volkspartei,,http://en.wikipedia.org/wiki/Austrian_People%27s_Party,1891-07-01,,,,,
1014,37,14,SP,Socialist Party,Socialist Party,Socialist Party,,http://en.wikipedia.org/wiki/Socialist_Party_(Ireland),1996-07-01,,,Socialist Party (SP) formed in 1996 by members of the Militant Tendency. They were expelled from the Labour Party in 1989.,,
1015,23,6,PNL,National Liberal Party,Partidul Naţional Liberal,Partidul National Liberal,,http://en.wikipedia.org/wiki/National_Liberal_Party_(Romania),,,,,,
1016,1,11,SOP,Party of Civic Understanding,Strana občianskeho porozumenia,Strana obcianskeho porozumenia,,http://sk.wikipedia.org/wiki/Strana_ob%C4%8Dianskeho_porozumenia,,,,,,null
1017,44,6,NLP,National Liberal Party,National Liberal Party,National Liberal Party,,"https://en.wikipedia.org/wiki/National_Liberal_Party_(UK,_1931)",,,,,,
1019,74,3,BBWR,Non-Party Block for Supporting the Reforms,Bezpartyjny Blok Wspierania Reform,Bezpartyjny Blok Wspierania Reform,,http://en.wikipedia.org/wiki/Bezpartyjny_Blok_Wspierania_Reform,1993-11-30,,,,,
1023,44,11,SDLP,Social Democratic and Labour Party,Social Democratic and Labour Party,Social Democratic and Labour Party,,http://en.wikipedia.org/wiki/Social_Democratic_and_Labour_Party,1970-08-20,,,Party formed on 20 August 1970.,,
1026,27,14,EE,Basque Left,Euzkadiko Ezkerra,Euzkadiko Ezkerra,,http://en.wikipedia.org/wiki/Euskadiko_Ezkerra,,,,,,
1027,41,26,EP,National Alignment,Ethniki Parataxis,Ethniki Parataxis,Κριτήρια αναζήτησης,http://en.wikipedia.org/wiki/National_Alignment,1977-07-01,1981-07-01,,,,
1028,26,16,MIS,Movement for the Independence of Sicily,Movimento Indipendentista Siciliano,Movimento Indipendentista Siciliano,,http://it.wikipedia.org/wiki/Movimento_Indipendentista_Siciliano#Assemblea_Costituente_.281946-1948.29,,,,,,
1029,64,11,SP,Socialist Party,Socialistische Partij,Socialistische Partij,,http://en.wikipedia.org/wiki/Socialistische_Partij_-_Anders,,,,,,
1030,26,16,SVP,South Tyrol Peoples Party,Südtiroler Volkspartei,Suedtiroler Volkspartei,,http://en.wikipedia.org/wiki/South_Tyrolean_People%27s_Party,1945-05-08,,,New party formed on 8 May 1945.,,
1033,72,6,PK,Constitutionalist Party,Partit Kostituzzjonali,Partit Kostituzzjonali,,http://en.wikipedia.org/wiki/Constitutional_Party_%28Malta%29,1921-07-01,,mchale,New party formed in 1921. ,,
1040,26,3,MpA,Movement for Autonomy,Movimento per l'Autonomia,Movimento per l'Autonomia,,http://en.wikipedia.org/wiki/Movement_for_Autonomy,2005-04-30,,,Party formed on 30 April 2005. ,,
1042,55,14,LVP,Latvian Unity Party,Latvijas Vienības Partija,Latvijas Vienibas Partija,,http://en.wikipedia.org/wiki/Latvian_Unity_Party,1992-12-01,2001-07-01,buga,,,
1043,55,26,LPP,Latvia's First Party,Latvijas Pirmā partija,Latvijas Pirma partija,,http://en.wikipedia.org/wiki/Latvia_First_Party,,,,,,
1044,62,40,HSP,Croatian Party of Rights,Hrvatska stranka prava,Hrvatska stranka prava,,https://en.wikipedia.org/wiki/Croatian_Party_of_Rights,1990-07-01,,,,,
1045,15,26,TS-LK,Homeland Union,Tėvynės sąjunga,Tevynes sajunga,,http://en.wikipedia.org/wiki/Homeland_Union_%28Lithuanian_Conservatives%29,,,,,,
1047,60,3,NSI,New Slovenia -- Christian People's Party,Nova Slovenija – Krščanska ljudska stranka,Nova Slovenija -- Krscanska ljudska stranka,,http://en.wikipedia.org/wiki/New_Slovenia_Christian_People%27s_Party,2000-08-04,,reuters,,,
1048,26,11,CeS,Centre Left,Centro-sinistra,Centro-sinistra,,http://en.wikipedia.org/wiki/Ulivo,,,,,Proxy party for centre left alliances that have formed since the 1990s.,"{""proxy_party"": true}"
1049,51,40,ADK,Fighting Democratic Movement,Agonistiko Dimokratiko Kinima,Agonistiko Dimokratiko Kinima,Αγωνιστικό Δημοκρατικό Κίνημα,http://en.wikipedia.org/wiki/Fighting_Democratic_Movement,1999-07-01,,,New party formed in 1999. ,,
1050,26,40,PNM,Monarchist National Party,Partito Nazionale Monarchico,Partito Nazionale Monarchico,,http://en.wikipedia.org/wiki/Monarchist_National_Party,,,,,,
1051,64,3,PSC-CVP,Francophone Christian Social Party and Flemish Christian People's Party,Parti Social Chrétien – Christelijke Volkspartij,Parti Social Chretien -- Christelijke Volkspartij,,http://en.wikipedia.org/wiki/Christian_Social_Party_%28Belgium%2C_defunct%29,1945-01-18,,,,,
