comment,data_source,description,type,data_json,party_new,party,date,id
,,,31,,303,1253,1931-07-01,845
,,,31,,1908,1253,1940-07-01,847
,,,34,,1922,1908,1940-07-01,848
,,,31,,1917,1898,1906-07-01,849
,,,33,,2285,1938,1909-07-01,850
,,,33,,2285,1898,1909-07-01,851
,,,33,,1919,184,1932-07-01,852
,,,31,,1225,1003,1961-07-01,853
,,,,,1151,851,1986-09-01,854
,knesset,,31,,2361,678,1999-02-23,855
,reuters, Georgi Parvanov,62,,2364,982,2014-07-01,856
,nyt,,31,,2358,1094,1952-03-06,857
,,,34,,1414,2358,1954-07-01,858
,,,62,,2370,318,2013-04-05,859
,bta,,62,,2379,982,2011-04-21,860
,,,31,,2372,528,2012-07-01,861
,,,31,,2380,645,2013-12-16,862
,,,62,,2382,1493,2013-10-29,863
,,,62,,2387,1272,2013-07-01,864
,frpo,,31,,2399,658,2008-11-23,866
,,,62,,2391,1072,2011-05-23,867
,,,31,,2647,1015,2014-07-03,869
,,,33,,417,2402,2000-06-10,870
,,,33,,417,2403,2000-06-10,871
,,,31,,2404,2136,2014-08-01,872
,,,34,,2360,678,2005-07-01,873
,,,31,,2406,904,1940-07-01,874
,,,31,,2407,1338,2015-01-03,875
,,,34,,1100,1608,2009-07-01,876
,,,31,,2409,1597,2014-09-20,877
,,,33,,678,1841,1973-07-01,879
,,,31,,2411,788,2014-12-15,880
,,,31,,470,748,1993-07-01,881
,,,62,,2410,678,2014-11-27,882
,,,31,,2415,647,1900-07-01,883
,rose,"ASZ was absorbed by MSZP in 1998 (Rose/Munro 2009:148).
",34,,1591,1183,1998-07-01,884
,,,35,,1137,450,1991-10-12,885
,,,33,,1395,1796,1998-05-01,886
,rose,,31,,2417,1368,1994-07-01,887
,,,33,,521,801,2011-07-23,888
,rose,,33,,675,493,2001-07-01,889
,,,31,,2441,2561,1923-07-01,890
,,,33,,1342,2441,1929-05-25,891
,,,31,,2439,1455,1922-07-01,892
,mchale,,33,,1342,2561,1924-07-01,893
,,,31,,2437,228,1930-07-01,894
,,,33,,1461,2556,1921-07-01,895
,,,31,,2478,882,1929-07-01,896
,,,31,,882,904,1917-07-01,897
,,,31,,2557,882,1921-07-01,898
,,,33,,904,2557,1923-07-01,899
,,,33,,878,2549,1916-07-01,900
,,,34,,2539,2466,1937-07-01,901
,,,31,,1194,1451,1909-03-14,902
,,,31,,892,2477,1923-05-23,903
,,,34,,2477,892,1934-08-05,904
,,,31,,2474,104,1921-07-01,905
,,,34,,104,2474,1927-07-01,906
,,,31,,2473,647,1888-07-01,907
,,,31,,2472,647,1909-07-01,908
,,,33,,2461,2459,1921-07-01,909
,,,33,,2461,2462,1921-07-01,910
,,,33,,2461,2457,1921-07-01,911
,,,62,,2431,590,1939-07-01,912
,,,33,,1605,2430,1909-07-01,913
,,,34,,395,2433,1919-07-01,914
,,,32,,1219,2434,1918-07-01,916
,,,32,,1118,2434,1918-07-01,917
,,,35,,1051,2423,1945-01-18,918
,,,31,,1051,2423,1936-07-01,919
,,,31,,2525,2523,1923-08-01,920
,,,35,,1234,2527,1944-07-01,921
,,,35,,2456,2453,1925-02-01,922
,,,35,,2531,2453,1925-02-01,923
,,,35,,2533,2453,1925-02-01,924
,,,33,,2455,2456,1932-07-01,925
,,,35,,967,2455,1955-04-24,928
,no-2010,,31,,2529,2527,1925-02-01,929
,no-2010,,31,,2538,2450,1931-06-01,930
,no-2010,"PL was led by Nicolas Mathieu, a former member of the PNI.",31,,2140,2450,1937-06-01,932
,no-2010,,31,,2536,2527,1931-06-01,933
,no-2010,,31,,2448,2527,1937-06-01,934
,,,31,,2535,2456,1928-06-30,935
,,,62,,2565,794,1935-10-01,936
,,,35,,794,2565,1938-07-01,937
,,,33,,296,2427,1932-07-01,938
,,,33,,997,2471,1936-05-14,939
,,,33,,997,2469,1936-05-14,940
,,,31,,2567,211,2013-11-27,941
,,,32,,2573,1371,1991-10-01,942
Rose and Munro 2003: 298.,,,33,,1252,317,1994-03-01,943
,,,31,,2479,1556,1931-07-01,944
,,,31,,1205,1556,1931-07-01,945
,,,33,,1017,2503,1922-07-01,946
,,,31,,2504,773,1917-08-01,947
,no-2010,,33,,220,1415,2004-12-04,948
,,,33,,1120,307,1993-07-10,949
,,,33,,1393,2447,1933-09-01,950
,,,33,,1393,2442,1933-09-11,951
,,,33,,2455,2533,1932-07-01,952
,mackie,,34,,401,2594,1945-07-01,953
,,,33,,1297,2581,1945-07-01,954
,,,31,,1912,1253,1931-07-01,955
,,,33,,439,163,1998-04-27,956
,reuters,,31,,2596,1592,2015-08-21,957
,,,31,,2475,882,1924-07-01,958
,,,34,,904,2475,1926-07-01,959
,,,62,,2602,1549,2015-01-22,960
,,,33,,742,2542,1946-02-09,961
,,,34,,657,2608,1935-07-01,962
,,,31,,1239,1629,1918-07-01,963
,,,31,,2614,1384,2014-09-28,964
,,,33,,2455,2535,1932-07-01,965
,,,34,,1253,303,1941-07-01,966
,,,34,,1253,303,1936-07-01,967
,,,31,,2617,1539,1919-07-01,968
,,,33,,2594,2617,1935-07-01,969
,,,31,,2618,1539,1933-07-01,970
,,,33,,2594,2618,1935-07-01,971
,,,35,,167,2422,1945-07-01,972
,,,62,,669,973,2004-07-01,973
,,,31,,2620,1393,2015-03-13,974
,,,34,,2603,845,2012-06-10,975
,,,33,,2581,2593,1919-07-01,976
,,,,,1414,2587,1949-01-06,977
,,,34,,1086,2583,1940-07-10,978
,mackie,,31,,2584,686,1930-12-21,979
,,,34,,1539,2584,1937-01-31,980
,jta,,33,,439,2136,2016-03-27,981
,,,33,,890,2585,1946-06-02,982
,,,32,,242,1475,1969-07-05,983
,,,31,,1014,318,1989-07-01,984
,hurriyet,BDP MPs join HDP,,,2572,2305,2014-04-28,985
,,,34,,2581,2586,1919-07-01,986
,,,62,,2626,1575,2016-01-15,987
,,,33,,2626,491,2016-03-15,988
,,,,,686,1539,1920-12-30,989
,,,31,,2486,2423,1936-07-01,990
,,,33,,1051,2486,1945-08-18,991
,,,62,,221,1110,2007-01-19,992
,,,31,,2442,2563,1932-12-01,993
,,,31,,708,2422,1921-07-01,994
,,,31,,1760,1411,1969-07-01,995
,,,31,,386,2286,1997-04-11,996
,,,31,,993,290,1978-07-01,997
,,,33,,851,1049,1999-07-01,998
,,,31,,720,1338,1995-07-01,999
,,,35,,1287,1475,2001-01-20,1000
,,,31,,325,1424,1989-01-01,1001
,,,62,,114,878,2004-07-07,1002
,,,31,,619,664,1991-10-01,1003
,,,62,,1589,2002,2006-07-01,1004
,,,62,,2468,2471,1934-07-01,1006
,,,31,,2317,1415,2005-03-05,1007
,,,33,,1424,968,1975-07-01,1008
,,,31,,1562,1782,1992-07-01,1009
,,,31,,1023,1092,1970-08-20,1010
,,,62,,2063,659,1999-07-01,1011
,,,62,,2063,1556,1999-07-01,1012
,,,62,,2063,773,1999-07-01,1013
,,,62,,2252,138,1999-07-01,1014
,,,62,,2252,509,1999-07-01,1015
,,,62,,2169,47,2009-05-01,1016
,,,62,,1680,1355,2003-06-14,1018
,,,31,,375,725,1976-07-01,1019
,,,62,,2028,118,1985-07-01,1020
,,,62,,1989,1619,2011-10-01,1022
,,,35,,1556,2508,1922-11-15,1023
,,,33,,659,2501,1923-11-13,1024
,,,31,,2501,2503,1918-11-20,1025
,,,31,,2633,1342,2016-05-24,1026
,,,33,,2634,983,2014-07-12,1027
,,,33,,2634,2122,2014-07-12,1028
,,,31,,1927,1912,1943-04-16,1029
,,,62,,1720,543,1994-01-21,1030
,,,62,,523,92,1958-07-01,1031
,,,62,,523,280,1958-07-01,1032
,,,33,,596,436,2014-07-01,1033
,,,31,,1040,226,2005-04-30,1034
,,,31,,2464,405,1921-07-01,1035
,,,35,,411,135,1985-07-01,1036
,,,62,,1752,1013,1999-07-01,1037
,,,31,,658,509,2002-11-17,1038
,,,33,,509,59,1978-07-01,1039
,,,31,,2639,1286,2016-04-10,1040
,,,62,,2640,2212,2014-08-02,1041
,, Tunahan Kuzu ,62,,2641,742,2014-11-13,1042
,,,62,,2643,1539,2016-04-06,1043
,,,62,,2644,686,2016-02-10,1044
,,,31,,2645,200,2017-06-13,1045
,,,62,,2648,1120,2015-04-23,1046
,,,33,,2647,5,2015-06-19,1048
,,,31,,2654,2262,2015-05-05,1050
,,,62,,2651,1429,2017-07-26,1051
,,,32,,2655,1455,2017-09-24,1052
,,,31,,2657,1734,2017-10-03,1053
,,,62,,2656,1193,2017-09-25,1054
,,,35,,2670,2334,2017-06-24,1055
,,The NPSI only joined on federal level and remained independent on regional level.,34,,596,1287,2009-03-29,1056
,,,33,,2670,2335,2017-06-24,1057
,,,33,,2670,1989,2017-06-24,1058
,,,31,,1661,1321,2016-06-26,1059
,,,31,,2153,693,2012-12-18,1060
"see Mulej (2017, 138-9)",,,33,,2674,2673,1920-08-08,1061
"see Mulej (2017, 138-9)",,,33,,2674,2672,1920-08-08,1062
,,,31,,2690,558,1917-04-06,1063
,,,34,,558,2690,1922-09-24,1064
,,,31,,2697,137,1918-12-01,1065
"see Mulej (2017, 138-9)",,,33,,2674,2675,1920-08-08,1066
,,,33,,2681,2677,1920-06-26,1067
,,,33,,2681,2678,1920-06-26,1068
,,,33,,2674,2679,1920-08-08,1069
"see Mulej (2017, 138-9)",,,33,,2674,2676,1920-08-08,1070
,,,31,,2702,408,2017-10-25,1071
,,,35,,1131,2697,1946-10-28,1072
,,,35,,1180,2697,1945-07-01,1073
,,,31,,2709,2692,1928-07-01,1074
,,,31,"{""date_as_is"": true}",2711,2692,1930-07-01,1075
,wid,,31,,2713,2692,1929-12-28,1076
,,,62,,2714,2461,1929-07-01,1077
,,,62,,2715,2366,2016-05-03,1078
,,,62,,2717,521,2014-05-17,1079
,,,34,,244,188,1984-07-01,1080
,,,31,,2508,1556,1918-07-01,1081
,knesset,,31,,2718,214,2018-12-29,1082
,,,31,,2729,1272,2019-01-20,1084
,,,31,,2730,1556,2019-02-18,1085
,,,31,,2730,773,2019-02-18,1086
,,,31,,2732,1539,2017-07-01,1087
,,,62,,2734,658,2007-03-25,1088
,,,31,,2759,1003,2016-10-21,1089
,,,,,2739,2263,2019-02-22,1090
,,,62,,2740,1945,2019-02-03,1091
,,,31,,2741,851,2018-04-20,1093
,,,31,,2742,1592,2018-03-27,1094
,,,62,,2744,2091,2017-03-28,1096
,,,31,,2745,600,2018-06-23,1097
,,,31,,2746,1120,2018-02-20,1098
,,,31,,2750,1432,2019-02-08,1099
,,,31,,2756,1273,2018-10-23,1100
,,,31,,2763,1277,2018-04-13,1101
,,,,,2763,581,2018-04-13,1102
,,,62,,2769,1465,2017-06-06,1104
,,,31,,2770,276,2017-06-01,1105
,,,31,,2780,1179,2016-06-28,1106
,,,31,,2450,2527,1918-07-01,1107
,,,32,,649,2690,1920-12-04,1108
,reuters,,31,,2794,382,2019-09-18,1109
,,,31,,2800,678,2017-03-12,1110
,,,31,,2797,220,2019-10-07,1111
,,,62,,2787,1816,2018-12-25,1112
,,,31,,2783,1432,2019-02-04,1113
,,,31,,2781,590,2015-10-19,1114
,,,31,,2754,179,2019-04-06,1115
,,,,,630,2001,1996-02-27,1116
,,,31,,2752,2624,2018-04-14,1117
,mchale,,33,,1342,2440,1924-07-01,1118
,,,62,,2801,1118,2018-04-21,1119
,,,31,,1421,983,2002-03-09,1120
,,,31,,2750,1759,2019-02-08,1121
,,,31,,2013,1495,2000-09-07,1122
,,,31,,2803,1432,2012-09-02,1123
,,,35,,2737,1296,2019-01-27,1124
,,,62,,2727,678,2015-01-05,1125
,,,33,,2804,2325,2011-06-04,1126
,,,,,2392,1666,2013-12-15,1127
,,,35,,2154,373,2012-12-17,1128
,afp,,31,,2813,873,2015-09-02,1129
,,,34,,2646,2811,2021-04-16,1130
,,,31,,2816,351,2018-08-24,1131
Formed as Initiatives from Osaka in October 2015 from a split in the old Japan Innovation Party (founded 2012).,,,31,,2826,2136,2015-11-02,1132
,,,33,,2827,2656,2018-05-07,1133
,,,33,,2827,1734,2018-05-07,1134
,,,31,,2828,2069,2019-04-01,1135
"In 2020 GERB suffered a split, as a sizable number of members and local party organizations left alongside former second-in-command Tsvetan Tsvetanov to form the Republicans for Bulgaria party.",,,32,,2814,1541,2020-10-27,1136
,,,62,,2805,482,2019-06-01,1137
,,,62,,2809,276,2020-02-29,1138
,,,62,,2817,2341,2019-10-30,1139
,,,,,2823,2642,2020-12-18,1140
,,,31,,2700,2692,1927-01-01,1141
,,,33,,2827,2657,2020-09-11,1142
,,,33,,940,2657,2020-07-01,1143
,,,31,,1816,678,1999-07-01,1144
,,,31,,1150,244,1988-02-15,1145
,,Gideon Sa'ar,62,,2835,678,2020-07-01,1146
,,Selçuk Öztürk,62,,2641,742,2014-11-13,1153
,,Maxime Bernier,62,,2791,1255,2018-08-23,1154
,,Valeri Simeonov.,62,,2211,535,2011-05-17,1155
,,Radim Fiala ,62,,2262,829,2012-07-01,1157
,,Radim Fiala ,62,,2654,2262,2013-07-01,1158
,,expulsion from ODS:  Václav Klaus Jr.,62,,2832,829,2019-03-16,1159
,,,35,,2854,1613,2011-07-01,1160
,,,34,,1015,2647,2022-03-22,1161
,ap,,31,,2861,2155,2022-06-21,1162
,,,31,,2862,658,2017-11-26,1163
,,,,,2857,2643,2021-10-09,1164
,,,31,,2877,2715,2021-08-24,1165
,,Aldis Gobzems,62,,2880,2715,2019-02-04,1166
,,,34,,2856,2337,2018-07-12,1167
,,,31,,2887,1605,2022-06-05,1168
,,,62,,2888,1605,2022-06-22,1169
,,,34,,2856,2668,2022-06-27,1170
,,Split by Zvi Thau and Hamor Yeshiva.,31,,2889,1357,2019-07-15,1171
,,,31,,2893,1597,2022-08-18,1172
,,,33,,2892,2416,2008-06-28,1174
,,,33,,2892,1590,2008-06-28,1175
,,,34,,2643,2862,2022-09-17,1176
,,,31,,2866,1587,2021-03-20,1177
,,,34,,360,2759,2020-10-17,1178
